Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.25,-.32,-.08,-.18,-.20,-.28,-.25,-.34,-.45,-.42,-.31,***,***,-.22,-.22,-.35
1881,-.32,-.24,-.06,-.02,.01,-.35,.06,-.06,-.28,-.46,-.39,-.25,-.20,-.21,-.33,-.02,-.12,-.38
1882,.24,.20,.00,-.33,-.26,-.32,-.30,-.17,-.26,-.54,-.35,-.69,-.23,-.20,.06,-.20,-.26,-.38
1883,-.59,-.69,-.17,-.31,-.26,-.15,-.05,-.24,-.34,-.17,-.43,-.16,-.30,-.34,-.66,-.25,-.15,-.31
1884,-.18,-.11,-.64,-.61,-.38,-.44,-.41,-.52,-.46,-.46,-.59,-.49,-.44,-.42,-.15,-.54,-.46,-.51
1885,-1.02,-.48,-.25,-.50,-.60,-.46,-.36,-.43,-.41,-.38,-.40,-.13,-.45,-.48,-.66,-.45,-.41,-.40
1886,-.77,-.86,-.73,-.39,-.35,-.39,-.15,-.44,-.34,-.33,-.41,-.23,-.45,-.44,-.59,-.49,-.33,-.36
1887,-1.10,-.72,-.46,-.40,-.27,-.22,-.26,-.56,-.22,-.51,-.29,-.44,-.45,-.44,-.68,-.38,-.35,-.34
1888,-.51,-.62,-.65,-.23,-.17,-.04,-.02,-.23,-.21,-.05,-.03,-.25,-.25,-.27,-.52,-.35,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.08,-.09,-.22,-.31,-.43,-.63,-.56,-.19,-.16,-.09,.02,-.13,-.46
1890,-.65,-.59,-.49,-.26,-.38,-.17,-.24,-.40,-.37,-.11,-.64,-.49,-.40,-.41,-.60,-.37,-.27,-.37
1891,-.47,-.70,-.17,-.37,-.17,-.14,-.14,-.14,-.09,-.30,-.54,-.05,-.27,-.31,-.55,-.24,-.14,-.31
1892,-.52,-.18,-.69,-.47,-.25,-.07,-.39,-.34,-.22,-.28,-.84,-.67,-.41,-.36,-.25,-.47,-.27,-.45
1893,-1.51,-.97,-.33,-.31,-.43,-.18,-.15,-.35,-.30,-.29,-.34,-.63,-.48,-.49,-1.05,-.36,-.23,-.31
1894,-.93,-.43,-.22,-.55,-.27,-.42,-.22,-.29,-.34,-.28,-.49,-.37,-.40,-.42,-.66,-.35,-.31,-.37
1895,-.72,-.82,-.51,-.20,-.32,-.22,-.20,-.29,-.07,-.09,-.13,-.22,-.31,-.33,-.63,-.34,-.23,-.09
1896,-.36,-.18,-.49,-.60,-.17,.07,.00,-.11,-.13,.04,-.21,-.21,-.20,-.20,-.26,-.42,-.01,-.10
1897,-.40,-.42,-.40,-.05,.13,-.06,.04,-.07,-.07,-.16,-.26,-.30,-.17,-.16,-.34,-.11,-.03,-.16
1898,.05,-.45,-.81,-.29,-.29,-.09,-.13,-.19,-.18,-.37,-.51,-.27,-.29,-.30,-.23,-.46,-.14,-.35
1899,-.13,-.65,-.59,-.24,-.25,-.36,-.18,-.07,-.05,.04,.35,-.47,-.22,-.20,-.35,-.36,-.20,.11
1900,-.62,-.14,.05,-.10,-.04,-.11,-.12,-.09,-.03,.23,-.13,-.03,-.10,-.13,-.41,-.03,-.11,.02
1901,-.34,-.10,.27,.10,-.12,.01,.01,-.16,-.28,-.32,-.20,-.40,-.13,-.10,-.16,.08,-.05,-.27
1902,-.14,-.03,-.37,-.38,-.40,-.40,-.33,-.30,-.34,-.34,-.48,-.61,-.34,-.32,-.19,-.38,-.34,-.38
1903,-.23,.11,-.17,-.47,-.44,-.46,-.43,-.56,-.49,-.46,-.41,-.57,-.38,-.38,-.24,-.36,-.48,-.45
1904,-.76,-.61,-.46,-.51,-.45,-.49,-.60,-.55,-.64,-.39,-.09,-.35,-.49,-.51,-.65,-.47,-.55,-.37
1905,-.41,-.82,-.23,-.46,-.29,-.28,-.22,-.24,-.19,-.28,.08,-.17,-.29,-.31,-.53,-.33,-.25,-.13
1906,-.57,-.54,-.21,.04,-.25,-.12,-.27,-.17,-.24,-.17,-.40,.03,-.24,-.26,-.42,-.14,-.18,-.27
1907,-.58,-.72,-.30,-.45,-.58,-.51,-.40,-.39,-.40,-.19,-.55,-.59,-.47,-.42,-.42,-.45,-.43,-.38
1908,-.54,-.27,-.70,-.47,-.29,-.30,-.36,-.58,-.31,-.46,-.64,-.56,-.46,-.46,-.47,-.49,-.41,-.47
1909,-.94,-.46,-.67,-.66,-.50,-.53,-.46,-.36,-.38,-.35,-.12,-.58,-.50,-.50,-.65,-.61,-.45,-.28
1910,-.36,-.38,-.50,-.41,-.31,-.46,-.39,-.41,-.44,-.32,-.62,-.82,-.45,-.43,-.44,-.41,-.42,-.46
1911,-.70,-.59,-.63,-.46,-.46,-.35,-.39,-.44,-.39,-.20,-.21,-.30,-.43,-.47,-.71,-.52,-.39,-.26
